2015-11-10 11:41:45.042 DEBUG  o.a.i.i.ResolverUtil [ResolverUtil.java:250] Checking to see if class me.quxiu.orderReturn.model.VeExpress matches criteria [is assignable to Object]
2015-11-10 11:41:45.043 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:379] Scanned package: 'me.quxiu.orderReturn.model' for aliases
2015-11-10 11:41:45.044 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:197] Find JAR URL: jar:file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar!/me/quxiu/orderReturn/query
2015-11-10 11:41:45.044 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:203] Inner URL: file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar!/me/quxiu/orderReturn/query
2015-11-10 11:41:45.044 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:214] Extracted JAR URL: file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar
2015-11-10 11:41:45.045 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:291] Found JAR: file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar
2015-11-10 11:41:45.045 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:64] Listing jar:file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar!/me/quxiu/orderReturn/query
2015-11-10 11:41:45.046 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:178] Found resource: /me/quxiu/orderReturn/query/OrderReturnHeaderQuery.class
2015-11-10 11:41:45.047 DEBUG  o.a.i.i.ResolverUtil [ResolverUtil.java:250] Checking to see if class me.quxiu.orderReturn.query.OrderReturnHeaderQuery matches criteria [is assignable to Object]
2015-11-10 11:41:45.048 DEBUG  o.m.s.SqlSessionFactoryBean [SqlSessionFactoryBean.java:379] Scanned package: 'me.quxiu.orderReturn.query' for aliases
2015-11-10 11:41:45.048 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:197] Find JAR URL: jar:file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar!/me/quxiu/share/result
2015-11-10 11:41:45.049 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:203] Inner URL: file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar!/me/quxiu/share/result
2015-11-10 11:41:45.049 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:214] Extracted JAR URL: file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar
2015-11-10 11:41:45.049 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:291] Found JAR: file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar
2015-11-10 11:41:45.050 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:64] Listing jar:file:/C:/Users/lenovo/.m2/repository/me/quxiu/orderReturn/orderReturn-api/0.0.1-SNAPSHOT/orderReturn-api-0.0.1-SNAPSHOT.jar!/me/quxiu/share/result
2015-11-10 11:41:45.051 DEBUG  o.a.i.i.ResolverUtil [DefaultVFS.java:178] Found resource: /me/quxiu/share/result/Reason.class
